# Original paramaters
"","BI_COMPOSITE_SBS2_P","BI_COMPOSITE_SBS7a_S","BI_COMPOSITE_SBS7b_S"
"prob",0.956521739130435,0.897196261682243,0.822429906542056
"mean",3.28576762763504,4.39398808270644,3.84500889561779
"stdev",0.413280099229664,0.968108881422247,0.781147219925613
# Parameters derived from synthetic exposures
"prob",0.952,0.909,0.826
"mean",3.31287008104551,4.354089321582,3.85166937232236
"stdev",0.425159829528533,0.993232689654104,0.744553946318382
# Difference between original parameters and parameters derived from synthetic exposures
"prob",0.00452173913043485,-0.0118037383177571,-0.0035700934579439
"mean",-0.0271024534104769,0.0398987611244372,-0.00666047670457193
"stdev",-0.0118797302988684,-0.0251238082318567,0.0365932736072312
# The difference should be small
